number,title,owned,image,note
A1,"The Intelligent Woman’s Guide to Socialism,etc I : George Bernard Shaw",Yes,https://mailpony.uk/pelicans/A001.jpg,"1937 good first ed with dw"
A2,"The Intelligent Woman’s Guide to Socialism,etc II : George Bernard Shaw",Yes,https://mailpony.uk/pelicans/A002.jpg,"1937 good first ed with dw"
A3,"Last and First Men: Olaf Stapledon",Yes,https://mailpony.uk/pelicans/A003.jpg,"1937 (reprint 1937, ok with dw)"
A4,"Digging Up the Past: Sir Leonard Woolley",Yes,https://mailpony.uk/pelicans/A004.jpg,"1937 (First with DW, also 1942 reprint, poor)"
A5,"A Short History of the World: H.G. Wells",Yes,https://mailpony.uk/pelicans/A005.jpg,"1937 first ed good"
A6,"Practical Economics: G.D.H. Cole",Yes,https://mailpony.uk/pelicans/A006.jpg,"1937 good"
A7,"Essays in Popular Science: Julian Huxley",Yes,https://mailpony.uk/pelicans/A007.jpg,"1937 (1938 reprint good)"
A8,"The Floating Republic: Dobree and Manwaring",Yes,https://mailpony.uk/pelicans/A008.jpg,"1937 good"
A9,"A History of the English People I: Elie Halevy",Yes,https://mailpony.uk/pelicans/A009.jpg,"1937 (1938 reprint with dw)"
A10,"The Mysterious Universe: Sir James Jeans",Yes,https://mailpony.uk/pelicans/A010.jpg,"1937 (1938 reprint with dw, good)"
A11,"The Great Victorians I",Yes,https://mailpony.uk/pelicans/A011.jpg,"1937 good"
A12,"The Inequality of Man: J.B.S. Haldane",Yes,https://mailpony.uk/pelicans/A012.jpg,"1937 first with torn dw, good"
A13,"Liberty in the Modern State: Harold J. Laski",Yes,https://mailpony.uk/pelicans/A013.jpg,"1937 first with dw"
A14,"Social Life in the Insect World: J.H. Fabre",Yes,https://mailpony.uk/pelicans/A014.jpg,"1937 first good"
A15,"The Growth of Civilisation: W.J. Perry",Yes,https://mailpony.uk/pelicans/A015.jpg,"1937 first with dw, good"
A16,"A History of the English People II: Elie Halevy",Yes,https://mailpony.uk/pelicans/A016.jpg,"1937 first with dw, good"
A17,"A Book of English Poetry: ed. G.B. Harrison",Yes,https://mailpony.uk/pelicans/A017.jpg,"1937 first good"
A18,"After the Deluge: Leonard Woolf",Yes,https://mailpony.uk/pelicans/A018.jpg,"1937 first with dw, good"
A19,"Medieval People: Eileen Power",Yes,https://mailpony.uk/pelicans/A019.jpg,"1937"
A20,"Vision and Design: Roger Fry",Yes,https://mailpony.uk/pelicans/A020.jpg,"1937"
A21,"An Outline of the Universe I: J.G. Crowther",Yes,https://mailpony.uk/pelicans/A021.jpg,"1938 first good"
A22,"An Outline of the Universe II: J.G. Crowther",Yes,https://mailpony.uk/pelicans/A022.jpg,"1938 first with dw"
A23,"Religion and the Rise of Capitalism: R.H. Tawney",Yes,https://mailpony.uk/pelicans/A023.jpg,"1938 first, good"
A24,"Psychopathology of Everyday Life: Sigmund Freud",Yes,https://mailpony.uk/pelicans/A024.jpg,"1938 first ok"
A25,"Only Yesterday I: Frederick Lewis Allen",Yes,https://mailpony.uk/pelicans/A025.jpg,"1938 first good"
A26,"Only Yesterday II: Frederick Lewis Allen",Yes,https://mailpony.uk/pelicans/A026.jpg,"1938 first good"
A27,"Ur of the Chaldees: Sir Leonard Woolley",Yes,https://mailpony.uk/pelicans/A027.jpg,"1938 first good"
